noisy_path,clean_path,noise_type,bucket,snr_db,split
data/processed/train/5694-64038-0003__5-150409-A-42__0db__noisy.wav,data/processed/train/5694-64038-0003__5-150409-A-42__0db__clean.wav,5-150409-A-42,stationary,0,train
data/processed/train/2902-9006-0008__5-160614-D-48__0db__noisy.wav,data/processed/train/2902-9006-0008__5-160614-D-48__0db__clean.wav,5-160614-D-48,impulsive,0,train
data/processed/train/2803-154328-0012__5-160614-A-48__10db__noisy.wav,data/processed/train/2803-154328-0012__5-160614-A-48__10db__clean.wav,5-160614-A-48,impulsive,10,train
data/processed/train/777-126732-0011__4-119648-C-48__5db__noisy.wav,data/processed/train/777-126732-0011__4-119648-C-48__5db__clean.wav,4-119648-C-48,impulsive,5,train
data/processed/train/251-137823-0004__10__5db__noisy.wav,data/processed/train/251-137823-0004__10__5db__clean.wav,10,impulsive,5,train
data/processed/train/2078-142845-0017__4-125929-A-40__0db__noisy.wav,data/processed/train/2078-142845-0017__4-125929-A-40__0db__clean.wav,4-125929-A-40,stationary,0,train
data/processed/train/7850-111771-0003__5-117118-A-42__neg5db__noisy.wav,data/processed/train/7850-111771-0003__5-117118-A-42__neg5db__clean.wav,5-117118-A-42,stationary,-5,train
data/processed/train/1993-147965-0005__2-50667-B-41__neg5db__noisy.wav,data/processed/train/1993-147965-0005__2-50667-B-41__neg5db__clean.wav,2-50667-B-41,stationary,-5,train
data/processed/train/2428-83705-0000__1-62509-A-45__5db__noisy.wav,data/processed/train/2428-83705-0000__1-62509-A-45__5db__clean.wav,1-62509-A-45,stationary,5,train
data/processed/train/3576-138058-0037__1-19898-B-41__10db__noisy.wav,data/processed/train/3576-138058-0037__1-19898-B-41__10db__clean.wav,1-19898-B-41,stationary,10,train
data/processed/train/3536-8226-0011__5-160614-B-48__neg5db__noisy.wav,data/processed/train/3536-8226-0011__5-160614-B-48__neg5db__clean.wav,5-160614-B-48,impulsive,-5,train
data/processed/train/1462-170142-0036__4-67358-A-42__10db__noisy.wav,data/processed/train/1462-170142-0036__4-67358-A-42__10db__clean.wav,4-67358-A-42,stationary,10,train
data/processed/train/2035-147960-0001__4-157611-A-41__neg5db__noisy.wav,data/processed/train/2035-147960-0001__4-157611-A-41__neg5db__clean.wav,4-157611-A-41,stationary,-5,train
data/processed/train/5694-64029-0008__3-141559-A-45__0db__noisy.wav,data/processed/train/5694-64029-0008__3-141559-A-45__0db__clean.wav,3-141559-A-45,stationary,0,train
data/processed/train/8297-275156-0010__1-64398-B-41__10db__noisy.wav,data/processed/train/8297-275156-0010__1-64398-B-41__10db__clean.wav,1-64398-B-41,stationary,10,train
data/processed/train/2428-83699-0025__3-68630-A-40__neg5db__noisy.wav,data/processed/train/2428-83699-0025__3-68630-A-40__neg5db__clean.wav,3-68630-A-40,stationary,-5,train
data/processed/train/1272-135031-0011__4-119648-D-48__10db__noisy.wav,data/processed/train/1272-135031-0011__4-119648-D-48__10db__clean.wav,4-119648-D-48,impulsive,10,train
data/processed/train/3081-166546-0039__3-141240-A-44__0db__noisy.wav,data/processed/train/3081-166546-0039__3-141240-A-44__0db__clean.wav,3-141240-A-44,stationary,0,train
data/processed/train/3081-166546-0005__3-115387-C-47__neg5db__noisy.wav,data/processed/train/3081-166546-0005__3-115387-C-47__neg5db__clean.wav,3-115387-C-47,stationary,-5,train
data/processed/train/2428-83699-0011__1-115545-B-48__0db__noisy.wav,data/processed/train/2428-83699-0011__1-115545-B-48__0db__clean.wav,1-115545-B-48,impulsive,0,train
data/processed/train/6295-64301-0016__3-119120-B-48__10db__noisy.wav,data/processed/train/6295-64301-0016__3-119120-B-48__10db__clean.wav,3-119120-B-48,impulsive,10,train
data/processed/train/2803-154328-0015__1-31482-B-42__10db__noisy.wav,data/processed/train/2803-154328-0015__1-31482-B-42__10db__clean.wav,1-31482-B-42,stationary,10,train
data/processed/train/7850-286674-0007__1-76831-A-42__5db__noisy.wav,data/processed/train/7850-286674-0007__1-76831-A-42__5db__clean.wav,1-76831-A-42,stationary,5,train
data/processed/train/2428-83705-0022__3-62878-A-42__0db__noisy.wav,data/processed/train/2428-83705-0022__3-62878-A-42__0db__clean.wav,3-62878-A-42,stationary,0,train
data/processed/train/1462-170142-0034__5-220955-A-40__0db__noisy.wav,data/processed/train/1462-170142-0034__5-220955-A-40__0db__clean.wav,5-220955-A-40,stationary,0,train
data/processed/train/7850-281318-0008__2-70052-B-42__neg5db__noisy.wav,data/processed/train/7850-281318-0008__2-70052-B-42__neg5db__clean.wav,2-70052-B-42,stationary,-5,train
data/processed/train/6295-244435-0009__3-118972-A-41__10db__noisy.wav,data/processed/train/6295-244435-0009__3-118972-A-41__10db__clean.wav,3-118972-A-41,stationary,10,train
data/processed/train/3536-8226-0015__4-193480-A-40__10db__noisy.wav,data/processed/train/3536-8226-0015__4-193480-A-40__10db__clean.wav,4-193480-A-40,stationary,10,train
data/processed/train/5694-64029-0030__3-51909-A-42__5db__noisy.wav,data/processed/train/5694-64029-0030__3-51909-A-42__5db__clean.wav,3-51909-A-42,stationary,5,train
data/processed/train/2428-83699-0004__1-50455-A-44__neg5db__noisy.wav,data/processed/train/2428-83699-0004__1-50455-A-44__neg5db__clean.wav,1-50455-A-44,stationary,-5,train
data/processed/train/1988-24833-0026__4-90014-B-42__10db__noisy.wav,data/processed/train/1988-24833-0026__4-90014-B-42__10db__clean.wav,4-90014-B-42,stationary,10,train
data/processed/train/1988-24833-0011__2-43802-A-42__neg5db__noisy.wav,data/processed/train/1988-24833-0011__2-43802-A-42__neg5db__clean.wav,2-43802-A-42,stationary,-5,train
data/processed/train/2078-142845-0015__1-19898-C-41__5db__noisy.wav,data/processed/train/2078-142845-0015__1-19898-C-41__5db__clean.wav,1-19898-C-41,stationary,5,train
data/processed/train/652-129742-0006__4-165606-A-45__0db__noisy.wav,data/processed/train/652-129742-0006__4-165606-A-45__0db__clean.wav,4-165606-A-45,stationary,0,train
data/processed/train/2078-142845-0028__2-43806-A-42__10db__noisy.wav,data/processed/train/2078-142845-0028__2-43806-A-42__10db__clean.wav,2-43806-A-42,stationary,10,train
data/processed/train/5694-64029-0005__3-146186-A-44__0db__noisy.wav,data/processed/train/5694-64029-0005__3-146186-A-44__0db__clean.wav,3-146186-A-44,stationary,0,train
data/processed/train/7850-281318-0017__1-115545-B-48__0db__noisy.wav,data/processed/train/7850-281318-0017__1-115545-B-48__0db__clean.wav,1-115545-B-48,impulsive,0,train
data/processed/train/422-122949-0006__5-188796-A-45__10db__noisy.wav,data/processed/train/422-122949-0006__5-188796-A-45__10db__clean.wav,5-188796-A-45,stationary,10,train
data/processed/train/777-126732-0080__5-216370-A-41__neg5db__noisy.wav,data/processed/train/777-126732-0080__5-216370-A-41__neg5db__clean.wav,5-216370-A-41,stationary,-5,train
data/processed/train/1673-143396-0011__4-168446-A-45__5db__noisy.wav,data/processed/train/1673-143396-0011__4-168446-A-45__5db__clean.wav,4-168446-A-45,stationary,5,train
data/processed/train/5895-34622-0020__3-119120-A-48__5db__noisy.wav,data/processed/train/5895-34622-0020__3-119120-A-48__5db__clean.wav,3-119120-A-48,impulsive,5,train
data/processed/train/1993-147149-0020__3-150979-A-40__0db__noisy.wav,data/processed/train/1993-147149-0020__3-150979-A-40__0db__clean.wav,3-150979-A-40,stationary,0,train
data/processed/train/84-121550-0029__1-64398-B-41__neg5db__noisy.wav,data/processed/train/84-121550-0029__1-64398-B-41__neg5db__clean.wav,1-64398-B-41,stationary,-5,train
data/processed/train/2078-142845-0014__5-160614-E-48__10db__noisy.wav,data/processed/train/2078-142845-0014__5-160614-E-48__10db__clean.wav,5-160614-E-48,impulsive,10,train
data/processed/train/3170-137482-0022__5-185579-A-41__neg5db__noisy.wav,data/processed/train/3170-137482-0022__5-185579-A-41__neg5db__clean.wav,5-185579-A-41,stationary,-5,train
data/processed/train/2035-152373-0010__1-70300-A-45__5db__noisy.wav,data/processed/train/2035-152373-0010__1-70300-A-45__5db__clean.wav,1-70300-A-45,stationary,5,train
data/processed/train/251-137823-0012__5-215449-A-47__5db__noisy.wav,data/processed/train/251-137823-0012__5-215449-A-47__5db__clean.wav,5-215449-A-47,stationary,5,train
data/processed/train/1272-135031-0018__1-181071-A-40__10db__noisy.wav,data/processed/train/1272-135031-0018__1-181071-A-40__10db__clean.wav,1-181071-A-40,stationary,10,train
data/processed/train/8297-275154-0012__3-118657-A-41__neg5db__noisy.wav,data/processed/train/8297-275154-0012__3-118657-A-41__neg5db__clean.wav,3-118657-A-41,stationary,-5,train
data/processed/train/1272-135031-0017__4-186936-A-44__10db__noisy.wav,data/processed/train/1272-135031-0017__4-186936-A-44__10db__clean.wav,4-186936-A-44,stationary,10,train
data/processed/train/5895-34629-0021__4-193480-A-40__5db__noisy.wav,data/processed/train/5895-34629-0021__4-193480-A-40__5db__clean.wav,4-193480-A-40,stationary,5,train
data/processed/train/84-121123-0020__1-115545-A-48__10db__noisy.wav,data/processed/train/84-121123-0020__1-115545-A-48__10db__clean.wav,1-115545-A-48,impulsive,10,train
data/processed/train/2803-154320-0008__1-76831-C-42__0db__noisy.wav,data/processed/train/2803-154320-0008__1-76831-C-42__0db__clean.wav,1-76831-C-42,stationary,0,train
data/processed/train/6295-244435-0007__2-105270-A-47__neg5db__noisy.wav,data/processed/train/6295-244435-0007__2-105270-A-47__neg5db__clean.wav,2-105270-A-47,stationary,-5,train
data/processed/train/1462-170138-0021__2-43806-A-42__10db__noisy.wav,data/processed/train/1462-170138-0021__2-43806-A-42__10db__clean.wav,2-43806-A-42,stationary,10,train
data/processed/train/2803-154328-0009__4-161099-A-47__10db__noisy.wav,data/processed/train/2803-154328-0009__4-161099-A-47__10db__clean.wav,4-161099-A-47,stationary,10,train
data/processed/train/3081-166546-0051__2-70936-A-42__10db__noisy.wav,data/processed/train/3081-166546-0051__2-70936-A-42__10db__clean.wav,2-70936-A-42,stationary,10,train
data/processed/train/5694-64038-0012__3-62878-B-42__0db__noisy.wav,data/processed/train/5694-64038-0012__3-62878-B-42__0db__clean.wav,3-62878-B-42,stationary,0,train
data/processed/train/652-129742-0020__1-115545-B-48__0db__noisy.wav,data/processed/train/652-129742-0020__1-115545-B-48__0db__clean.wav,1-115545-B-48,impulsive,0,train
data/processed/train/3081-166546-0027__5-160614-F-48__0db__noisy.wav,data/processed/train/3081-166546-0027__5-160614-F-48__0db__clean.wav,5-160614-F-48,impulsive,0,train
data/processed/train/1462-170138-0022__1-62565-A-44__5db__noisy.wav,data/processed/train/1462-170138-0022__1-62565-A-44__5db__clean.wav,1-62565-A-44,stationary,5,train
data/processed/train/3853-163249-0036__4-161105-B-47__10db__noisy.wav,data/processed/train/3853-163249-0036__4-161105-B-47__10db__clean.wav,4-161105-B-47,stationary,10,train
data/processed/train/6295-244435-0025__2-105270-A-47__10db__noisy.wav,data/processed/train/6295-244435-0025__2-105270-A-47__10db__clean.wav,2-105270-A-47,stationary,10,train
data/processed/train/2428-83699-0002__5-215445-A-47__0db__noisy.wav,data/processed/train/2428-83699-0002__5-215445-A-47__0db__clean.wav,5-215445-A-47,stationary,0,train
data/processed/train/5694-64025-0009__2-262579-A-45__neg5db__noisy.wav,data/processed/train/5694-64025-0009__2-262579-A-45__neg5db__clean.wav,2-262579-A-45,stationary,-5,train
data/processed/train/3576-138058-0019__5-117118-A-42__5db__noisy.wav,data/processed/train/3576-138058-0019__5-117118-A-42__5db__clean.wav,5-117118-A-42,stationary,5,train
data/processed/train/7850-286674-0002__2-68391-B-41__neg5db__noisy.wav,data/processed/train/7850-286674-0002__2-68391-B-41__neg5db__clean.wav,2-68391-B-41,stationary,-5,train
data/processed/train/3081-166546-0085__1-64398-B-41__10db__noisy.wav,data/processed/train/3081-166546-0085__1-64398-B-41__10db__clean.wav,1-64398-B-41,stationary,10,train
data/processed/train/7850-286674-0006__5-222524-A-41__5db__noisy.wav,data/processed/train/7850-286674-0006__5-222524-A-41__5db__clean.wav,5-222524-A-41,stationary,5,train
data/processed/train/6295-244435-0035__3-119120-D-48__neg5db__noisy.wav,data/processed/train/6295-244435-0035__3-119120-D-48__neg5db__clean.wav,3-119120-D-48,impulsive,-5,train
data/processed/train/3536-8226-0029__3-118972-B-41__10db__noisy.wav,data/processed/train/3536-8226-0029__3-118972-B-41__10db__clean.wav,3-118972-B-41,stationary,10,train
data/processed/train/1272-141231-0008__5-150409-A-42__5db__noisy.wav,data/processed/train/1272-141231-0008__5-150409-A-42__5db__clean.wav,5-150409-A-42,stationary,5,train
data/processed/train/2428-83705-0002__5-251963-A-47__10db__noisy.wav,data/processed/train/2428-83705-0002__5-251963-A-47__10db__clean.wav,5-251963-A-47,stationary,10,train
data/processed/train/2428-83699-0028__5-220955-A-40__5db__noisy.wav,data/processed/train/2428-83699-0028__5-220955-A-40__5db__clean.wav,5-220955-A-40,stationary,5,train
data/processed/train/1673-143397-0005__1-119125-A-45__5db__noisy.wav,data/processed/train/1673-143397-0005__1-119125-A-45__5db__clean.wav,1-119125-A-45,stationary,5,train
data/processed/train/251-137823-0009__5-215449-A-47__0db__noisy.wav,data/processed/train/251-137823-0009__5-215449-A-47__0db__clean.wav,5-215449-A-47,stationary,0,train
data/processed/train/3081-166546-0042__5-117122-A-42__10db__noisy.wav,data/processed/train/3081-166546-0042__5-117122-A-42__10db__clean.wav,5-117122-A-42,stationary,10,train
data/processed/train/8297-275155-0013__1-18527-A-44__10db__noisy.wav,data/processed/train/8297-275155-0013__1-18527-A-44__10db__clean.wav,1-18527-A-44,stationary,10,train
data/processed/train/1993-147966-0005__2-70052-B-42__neg5db__noisy.wav,data/processed/train/1993-147966-0005__2-70052-B-42__neg5db__clean.wav,2-70052-B-42,stationary,-5,train
data/processed/train/5694-64029-0015__3-135650-A-45__0db__noisy.wav,data/processed/train/5694-64029-0015__3-135650-A-45__0db__clean.wav,3-135650-A-45,stationary,0,train
data/processed/train/251-136532-0022__2-105270-A-47__5db__noisy.wav,data/processed/train/251-136532-0022__2-105270-A-47__5db__clean.wav,2-105270-A-47,stationary,5,train
data/processed/train/3536-23268-0006__4-119647-A-48__0db__noisy.wav,data/processed/train/3536-23268-0006__4-119647-A-48__0db__clean.wav,4-119647-A-48,impulsive,0,train
data/processed/train/1272-135031-0010__2-50667-B-41__0db__noisy.wav,data/processed/train/1272-135031-0010__2-50667-B-41__0db__clean.wav,2-50667-B-41,stationary,0,train
data/processed/train/777-126732-0048__1-43807-B-47__0db__noisy.wav,data/processed/train/777-126732-0048__1-43807-B-47__0db__clean.wav,1-43807-B-47,stationary,0,train
data/processed/train/3853-163249-0036__2-117615-A-48__0db__noisy.wav,data/processed/train/3853-163249-0036__2-117615-A-48__0db__clean.wav,2-117615-A-48,impulsive,0,train
data/processed/train/3576-138058-0010__5-117118-A-42__10db__noisy.wav,data/processed/train/3576-138058-0010__5-117118-A-42__10db__clean.wav,5-117118-A-42,stationary,10,train
data/processed/train/3576-138058-0016__2-43806-A-42__5db__noisy.wav,data/processed/train/3576-138058-0016__2-43806-A-42__5db__clean.wav,2-43806-A-42,stationary,5,train
data/processed/train/3000-15664-0002__5-216370-B-41__5db__noisy.wav,data/processed/train/3000-15664-0002__5-216370-B-41__5db__clean.wav,5-216370-B-41,stationary,5,train
data/processed/train/84-121550-0002__3-119120-A-48__10db__noisy.wav,data/processed/train/84-121550-0002__3-119120-A-48__10db__clean.wav,3-119120-A-48,impulsive,10,train
data/processed/train/84-121550-0016__2-70936-A-42__10db__noisy.wav,data/processed/train/84-121550-0016__2-70936-A-42__10db__clean.wav,2-70936-A-42,stationary,10,train
data/processed/train/3170-137482-0002__5-117120-A-42__10db__noisy.wav,data/processed/train/3170-137482-0002__5-117120-A-42__10db__clean.wav,5-117120-A-42,stationary,10,train
data/processed/train/1272-141231-0004__3-172922-A-48__0db__noisy.wav,data/processed/train/1272-141231-0004__3-172922-A-48__0db__clean.wav,3-172922-A-48,impulsive,0,train
data/processed/train/1272-128104-0001__2-50667-A-41__neg5db__noisy.wav,data/processed/train/1272-128104-0001__2-50667-A-41__neg5db__clean.wav,2-50667-A-41,stationary,-5,train
data/processed/train/6295-64301-0018__4-165606-A-45__5db__noisy.wav,data/processed/train/6295-64301-0018__4-165606-A-45__5db__clean.wav,4-165606-A-45,stationary,5,train
data/processed/train/8842-304647-0002__2-77945-B-41__10db__noisy.wav,data/processed/train/8842-304647-0002__2-77945-B-41__10db__clean.wav,2-77945-B-41,stationary,10,train
data/processed/train/84-121550-0025__5-150409-A-42__10db__noisy.wav,data/processed/train/84-121550-0025__5-150409-A-42__10db__clean.wav,5-150409-A-42,stationary,10,train
data/processed/train/3081-166546-0030__3-119120-D-48__neg5db__noisy.wav,data/processed/train/3081-166546-0030__3-119120-D-48__neg5db__clean.wav,3-119120-D-48,impulsive,-5,train
data/processed/train/5694-64038-0014__4-171652-A-44__0db__noisy.wav,data/processed/train/5694-64038-0014__4-171652-A-44__0db__clean.wav,4-171652-A-44,stationary,0,train
data/processed/train/7850-73752-0003__3-118657-A-41__neg5db__noisy.wav,data/processed/train/7850-73752-0003__3-118657-A-41__neg5db__clean.wav,3-118657-A-41,stationary,-5,train
data/processed/train/2428-83699-0008__3-146186-A-44__neg5db__noisy.wav,data/processed/train/2428-83699-0008__3-146186-A-44__neg5db__clean.wav,3-146186-A-44,stationary,-5,train
data/processed/train/777-126732-0047__4-171652-A-44__10db__noisy.wav,data/processed/train/777-126732-0047__4-171652-A-44__10db__clean.wav,4-171652-A-44,stationary,10,train
data/processed/train/7850-281318-0020__4-178881-A-45__10db__noisy.wav,data/processed/train/7850-281318-0020__4-178881-A-45__10db__clean.wav,4-178881-A-45,stationary,10,train
data/processed/train/8297-275155-0020__1-76831-B-42__10db__noisy.wav,data/processed/train/8297-275155-0020__1-76831-B-42__10db__clean.wav,1-76831-B-42,stationary,10,train
data/processed/train/2428-83699-0020__1-47250-A-41__neg5db__noisy.wav,data/processed/train/2428-83699-0020__1-47250-A-41__neg5db__clean.wav,1-47250-A-41,stationary,-5,train
data/processed/train/2428-83699-0027__1-115546-A-48__5db__noisy.wav,data/processed/train/2428-83699-0027__1-115546-A-48__5db__clean.wav,1-115546-A-48,impulsive,5,train
data/processed/train/8842-302203-0008__1-50455-A-44__5db__noisy.wav,data/processed/train/8842-302203-0008__1-50455-A-44__5db__clean.wav,1-50455-A-44,stationary,5,train
data/processed/train/5694-64029-0028__4-169127-A-41__0db__noisy.wav,data/processed/train/5694-64029-0028__4-169127-A-41__0db__clean.wav,4-169127-A-41,stationary,0,train
data/processed/train/7850-286674-0008__4-165823-B-41__neg5db__noisy.wav,data/processed/train/7850-286674-0008__4-165823-B-41__neg5db__clean.wav,4-165823-B-41,stationary,-5,train
data/processed/train/7850-286674-0013__3-51909-A-42__10db__noisy.wav,data/processed/train/7850-286674-0013__3-51909-A-42__10db__clean.wav,3-51909-A-42,stationary,10,train
data/processed/train/777-126732-0021__2-70939-A-42__10db__noisy.wav,data/processed/train/777-126732-0021__2-70939-A-42__10db__clean.wav,2-70939-A-42,stationary,10,train
data/processed/train/3853-163249-0041__3-172881-A-48__5db__noisy.wav,data/processed/train/3853-163249-0041__3-172881-A-48__5db__clean.wav,3-172881-A-48,impulsive,5,train
data/processed/train/3081-166546-0022__1-172649-C-40__5db__noisy.wav,data/processed/train/3081-166546-0022__1-172649-C-40__5db__clean.wav,1-172649-C-40,stationary,5,train
data/processed/train/2803-154328-0011__1-76831-C-42__0db__noisy.wav,data/processed/train/2803-154328-0011__1-76831-C-42__0db__clean.wav,1-76831-C-42,stationary,0,train
data/processed/train/5694-64025-0003__4-165845-A-45__5db__noisy.wav,data/processed/train/5694-64025-0003__4-165845-A-45__5db__clean.wav,4-165845-A-45,stationary,5,train
data/processed/train/84-121123-0024__2-68391-A-41__10db__noisy.wav,data/processed/train/84-121123-0024__2-68391-A-41__10db__clean.wav,2-68391-A-41,stationary,10,train
data/processed/train/3576-138058-0016__5-177957-B-40__5db__noisy.wav,data/processed/train/3576-138058-0016__5-177957-B-40__5db__clean.wav,5-177957-B-40,stationary,5,train
data/processed/train/5895-34629-0002__2-37806-C-40__neg5db__noisy.wav,data/processed/train/5895-34629-0002__2-37806-C-40__neg5db__clean.wav,2-37806-C-40,stationary,-5,train
data/processed/train/777-126732-0043__3-141559-A-45__0db__noisy.wav,data/processed/train/777-126732-0043__3-141559-A-45__0db__clean.wav,3-141559-A-45,stationary,0,train
data/processed/train/2428-83705-0013__2-262579-A-45__10db__noisy.wav,data/processed/train/2428-83705-0013__2-262579-A-45__10db__clean.wav,2-262579-A-45,stationary,10,train
data/processed/train/652-130726-0022__3-150979-A-40__neg5db__noisy.wav,data/processed/train/652-130726-0022__3-150979-A-40__neg5db__clean.wav,3-150979-A-40,stationary,-5,train
data/processed/train/8842-302196-0008__1-160563-B-48__neg5db__noisy.wav,data/processed/train/8842-302196-0008__1-160563-B-48__neg5db__clean.wav,1-160563-B-48,impulsive,-5,train
data/processed/train/251-118436-0000__3-62878-B-42__5db__noisy.wav,data/processed/train/251-118436-0000__3-62878-B-42__5db__clean.wav,3-62878-B-42,stationary,5,train
data/processed/train/3576-138058-0020__3-119120-C-48__0db__noisy.wav,data/processed/train/3576-138058-0020__3-119120-C-48__0db__clean.wav,3-119120-C-48,impulsive,0,train
data/processed/train/6295-244435-0029__1 (2)__neg5db__noisy.wav,data/processed/train/6295-244435-0029__1 (2)__neg5db__clean.wav,1 (2),impulsive,-5,train
data/processed/train/1272-141231-0020__5-232272-A-44__5db__noisy.wav,data/processed/train/1272-141231-0020__5-232272-A-44__5db__clean.wav,5-232272-A-44,stationary,5,train
data/processed/train/8842-302196-0007__4-165933-A-45__10db__noisy.wav,data/processed/train/8842-302196-0007__4-165933-A-45__10db__clean.wav,4-165933-A-45,stationary,10,train
data/processed/train/7850-111771-0001__10__5db__noisy.wav,data/processed/train/7850-111771-0001__10__5db__clean.wav,10,impulsive,5,train
data/processed/train/1988-148538-0011__1-119125-A-45__5db__noisy.wav,data/processed/train/1988-148538-0011__1-119125-A-45__5db__clean.wav,1-119125-A-45,stationary,5,train
data/processed/train/2078-142845-0005__1-47250-B-41__0db__noisy.wav,data/processed/train/2078-142845-0005__1-47250-B-41__0db__clean.wav,1-47250-B-41,stationary,0,train
data/processed/train/2035-147960-0004__3-119455-A-44__5db__noisy.wav,data/processed/train/2035-147960-0004__3-119455-A-44__5db__clean.wav,3-119455-A-44,stationary,5,train
data/processed/train/3081-166546-0031__3-128512-B-47__5db__noisy.wav,data/processed/train/3081-166546-0031__3-128512-B-47__5db__clean.wav,3-128512-B-47,stationary,5,train
data/processed/train/7850-73752-0006__3-118657-A-41__0db__noisy.wav,data/processed/train/7850-73752-0006__3-118657-A-41__0db__clean.wav,3-118657-A-41,stationary,0,train
data/processed/train/3170-137482-0013__1-76831-C-42__neg5db__noisy.wav,data/processed/train/3170-137482-0013__1-76831-C-42__neg5db__clean.wav,1-76831-C-42,stationary,-5,train
data/processed/train/5694-64038-0002__1-115546-A-48__10db__noisy.wav,data/processed/train/5694-64038-0002__1-115546-A-48__10db__clean.wav,1-115546-A-48,impulsive,10,train
data/processed/train/2035-147960-0015__1-76831-D-42__10db__noisy.wav,data/processed/train/2035-147960-0015__1-76831-D-42__10db__clean.wav,1-76831-D-42,stationary,10,train
data/processed/train/2428-83699-0028__5__neg5db__noisy.wav,data/processed/train/2428-83699-0028__5__neg5db__clean.wav,5,stationary,-5,train
data/processed/train/7850-281318-0005__4-161099-A-47__10db__noisy.wav,data/processed/train/7850-281318-0005__4-161099-A-47__10db__clean.wav,4-161099-A-47,stationary,10,train
data/processed/train/2078-142845-0042__5-198600-A-45__10db__noisy.wav,data/processed/train/2078-142845-0042__5-198600-A-45__10db__clean.wav,5-198600-A-45,stationary,10,train
data/processed/train/6295-64301-0020__1-50454-A-44__5db__noisy.wav,data/processed/train/6295-64301-0020__1-50454-A-44__5db__clean.wav,1-50454-A-44,stationary,5,train
data/processed/train/6295-244435-0024__5-185579-B-41__neg5db__noisy.wav,data/processed/train/6295-244435-0024__5-185579-B-41__neg5db__clean.wav,5-185579-B-41,stationary,-5,train
data/processed/train/251-136532-0004__3-119120-E-48__10db__noisy.wav,data/processed/train/251-136532-0004__3-119120-E-48__10db__clean.wav,3-119120-E-48,impulsive,10,train
data/processed/train/422-122949-0032__4-90014-A-42__5db__noisy.wav,data/processed/train/422-122949-0032__4-90014-A-42__5db__clean.wav,4-90014-A-42,stationary,5,train
data/processed/train/2035-147960-0005__2-68391-A-41__5db__noisy.wav,data/processed/train/2035-147960-0005__2-68391-A-41__5db__clean.wav,2-68391-A-41,stationary,5,train
data/processed/train/8297-275155-0018__5-160614-H-48__5db__noisy.wav,data/processed/train/8297-275155-0018__5-160614-H-48__5db__clean.wav,5-160614-H-48,impulsive,5,train
data/processed/train/6295-64301-0003__1-62509-A-45__neg5db__noisy.wav,data/processed/train/6295-64301-0003__1-62509-A-45__neg5db__clean.wav,1-62509-A-45,stationary,-5,train
data/processed/train/6295-244435-0011__4-186936-A-44__0db__noisy.wav,data/processed/train/6295-244435-0011__4-186936-A-44__0db__clean.wav,4-186936-A-44,stationary,0,train
data/processed/train/6295-244435-0012__4-161105-B-47__0db__noisy.wav,data/processed/train/6295-244435-0012__4-161105-B-47__0db__clean.wav,4-161105-B-47,stationary,0,train
data/processed/train/251-137823-0017__2-50667-B-41__10db__noisy.wav,data/processed/train/251-137823-0017__2-50667-B-41__10db__clean.wav,2-50667-B-41,stationary,10,train
data/processed/train/1462-170138-0012__1-181071-B-40__10db__noisy.wav,data/processed/train/1462-170138-0012__1-181071-B-40__10db__clean.wav,1-181071-B-40,stationary,10,train
data/processed/train/84-121550-0032__3-68630-A-40__10db__noisy.wav,data/processed/train/84-121550-0032__3-68630-A-40__10db__clean.wav,3-68630-A-40,stationary,10,train
data/processed/train/3536-8226-0026__4-186935-A-44__0db__noisy.wav,data/processed/train/3536-8226-0026__4-186935-A-44__0db__clean.wav,4-186935-A-44,stationary,0,train
data/processed/train/8842-302203-0011__3-159445-A-45__10db__noisy.wav,data/processed/train/8842-302203-0011__3-159445-A-45__10db__clean.wav,3-159445-A-45,stationary,10,train
data/processed/train/5694-64038-0004__4-119648-A-48__10db__noisy.wav,data/processed/train/5694-64038-0004__4-119648-A-48__10db__clean.wav,4-119648-A-48,impulsive,10,train
data/processed/train/84-121123-0024__3-143562-A-47__10db__noisy.wav,data/processed/train/84-121123-0024__3-143562-A-47__10db__clean.wav,3-143562-A-47,stationary,10,train
data/processed/train/5694-64029-0004__4-111671-A-42__5db__noisy.wav,data/processed/train/5694-64029-0004__4-111671-A-42__5db__clean.wav,4-111671-A-42,stationary,5,train
data/processed/train/777-126732-0078__4-121532-A-42__10db__noisy.wav,data/processed/train/777-126732-0078__4-121532-A-42__10db__clean.wav,4-121532-A-42,stationary,10,train
data/processed/train/3536-23268-0030__4-119647-A-48__0db__noisy.wav,data/processed/train/3536-23268-0030__4-119647-A-48__0db__clean.wav,4-119647-A-48,impulsive,0,train
data/processed/train/5895-34622-0014__5-235507-A-44__10db__noisy.wav,data/processed/train/5895-34622-0014__5-235507-A-44__10db__clean.wav,5-235507-A-44,stationary,10,train
data/processed/train/777-126732-0001__3-154926-A-40__neg5db__noisy.wav,data/processed/train/777-126732-0001__3-154926-A-40__neg5db__clean.wav,3-154926-A-40,stationary,-5,train
data/processed/train/84-121123-0002__3-62878-A-42__5db__noisy.wav,data/processed/train/84-121123-0002__3-62878-A-42__5db__clean.wav,3-62878-A-42,stationary,5,train
data/processed/train/7850-281318-0004__2-78651-A-44__10db__noisy.wav,data/processed/train/7850-281318-0004__2-78651-A-44__10db__clean.wav,2-78651-A-44,stationary,10,train
